state,year,maxTemp,minTemp,mean
Australian Capital Territory,2019,22.45643836,7.096438356,14.77643836
New South Wales,2019,24.28887273,13.89125091,19.09006182
Northern Territory,2019,32.70291353,19.31259398,26.00775376
Queensland,2019,28.26437276,18.83921147,23.55179211
South Australia,2019,22.89384185,10.4790063,16.68642407
Tasmania,2019,18.44718894,8.155760369,13.30147465
Victoria,2019,21.41046431,9.197227997,15.30384615
Western Australia,2019,26.56440678,14.87850282,20.7214548
Australian Capital Territory,2020,20.75514403,7.89478738,14.32496571
New South Wales,2020,23.35260188,13.86112853,18.6068652
Northern Territory,2020,32.20780809,19.77507056,25.99143932
Queensland,2020,28.10983723,19.2552017,23.68251946
South Australia,2020,21.66746708,10.12331526,15.89539117
Tasmania,2020,17.80494403,8.544029851,13.17448694
Victoria,2020,20.28443983,9.117704011,14.70107192
Western Australia,2020,26.32539521,15.39149384,20.85844453
